jobtitle,company,location,jobsnippet,salary,companyrating,href
"Senior Software Engineer C++, C, Java",Raytheon Missiles & Defense,"Fullerton, CA","KEYWORDS: software engineering, java, c, c++, ada, vxworks, matlab, real-time, embedded, radar, linux, agile, scrum, object-oriented design, devops, devsecops,…",N/A,3.7 ,simplyhired.com/job/sFkL_BbI0UjlQUXuk1zzlnE73UMVOu2p-D-7rcYVkdUPw1qnqILC5w
Principal Software Engineer - C2 Infrastructure,Raytheon Missiles & Defense,"Fullerton, CA","Responsibilities include platform solution architecture and design, COTS/FOSS installation, configuration, integration, and testing, automation of software…",N/A,3.7 ,simplyhired.com/job/pAg5AOMdhA4hwHaJ3qUdqottU7ZvW8CPeRfVdNQfDwaJPaa4fbiv0Q
Senior Cyber Security Software Engineer,Raytheon Missiles & Defense,"Woburn, MA","Typically requires a Bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering, Mathematics, Software Engineering, or related field…",N/A,3.7 ,simplyhired.com/job/LNN4uVHjDrHH6MZu2AgYcl6LEZHfCoR0CeKFnS0Bj8i4Ezep7t8Ksw
Software Developer (Entry-Level),"Computer Information Systems, Inc.",Remote,"As a Software Developer (Entry-Level), you will play a key role in designing, developing, and delivering state of the art mission critical solutions.",Estimated: $59.8K - $75.7K a year,4 ,simplyhired.com/job/7F554xBF8Qoi2beJRei4q2gG721p52rJO2OjI_Z2VmmmZcXpbUdNgg
Principal Software Engineer - Radar (C++),Raytheon Missiles & Defense,"Marlborough, MA","Typically requires a Bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering, Mathematics, Software Engineering, or related field…",N/A,3.7 ,simplyhired.com/job/Lw6uVxpXrUwOzUkl5db0VlXfAG0CpiHJ3hHAOLkEH9cjAAL5qJlSng
"Software, Simulation, and Performance Integrated Product Team Lead (IPTL)",Raytheon Missiles & Defense,"Tucson, AZ",Experience using program management tools to identify issues and develop recommended courses of action to management.,N/A,3.7 ,simplyhired.com/job/acBmDxVLVIKnT5-9mJ_DmrzcpDmYfJ0sR2DM0PSwWPOTaZw44zbRpA
Full Stack Web Developer - Entry Level,Aston Technologies Inc.,"Saint Louis Park, MN","This Full-Stack Web Developer position will be working on client’s software projects to help assess, design, and implement to ensure a successful project…",Estimated: $25 an hour,4.1 ,simplyhired.com/job/L2fYVjRbK6eA4fbn922yWize8h853PBsiC71nyUJVjICQX1YdeVbDw
Entry-Level Software/DevOps Engineer,Humana,"Lancaster, SC","Demonstrated/Qualified technical area of study. Upgrades, secops/pen testing from detailed specifications including analysis, coding, testing and documenting…",N/A,3.6 ,simplyhired.com/job/aOhTZph8jZGtcbm8IJnwUMiZArAGJ7hZgO3IhzKzUTmZV-vCOva-Ng
Entry level Fullstack developer role,"Antra, Inc","Naperville, IL","*Must have a bachelor’s degree in engineering, computer science or related field, or the equivalent combination of education, professional training, and work…","Estimated: $60,000 - $70,000 a year",4.5 ,simplyhired.com/job/L51OvhJIjquUfqvDtAqFUFbcGo4Nk548V6Q20NajOVwdv8auggFQtA
Training & Placement on Quality Analysis,Precision Technologies Corp,"Monmouth Junction, NJ",Product Owner//Product Manager with POPM certification. _\*Any Bachelor's from Computer science background can apply\*_.,Estimated: $35 - $50 an hour,3.7 ,simplyhired.com/job/aVpC3ORYI8ilYaK6zsJN-ly7dhKgHkqXEd7MeuT78CS0KPa1CXAadA
Jr. Software Developer,Hero Facility Services,"Melbourne, FL","Bachelors Degree in Software Development or a related field of study. As an entry level role, the analyst will not be expected to have strong programming skills…","Estimated: $45,000 - $55,000 a year",N/A,simplyhired.com/job/UQwxujPouo193PP8IpzAbFsfhYRq89uY_gXcFBFDgS76OLuaXa5xhw
Entry Level Python Developer,Emonics academy,"Boston, VA","You have Basic Java concepts like loops, lists, variables, and control structures. Boston, VA 22713: Reliably commute or willing to relocate with an employer…","Estimated: $55,000 - $85,000 a year",4.6 ,simplyhired.com/job/SNGHr3zOvKjqItAz0TBCjoh2aNWJ9IN0gvR0Y8bnp-IOlySDfYNjVw
"Principal Software Engineer - Radar C, C++ Onsite",Raytheon Missiles & Defense,"Fullerton, CA","Our 2000+ software engineers design, develop, and build innovative solutions for our customers. KEYWORDS: software engineering, java, c, c++, ada, vxworks,…",N/A,3.7 ,simplyhired.com/job/6uQtOKx3iNz6TqG7pFYflpjWEbojAF7Qs6-1l22VBSw7I7bcxZif1w
Principal Software Engineer - Section Leader,Raytheon Missiles & Defense,"Woburn, MA","Our 2000+ software engineers design, develop, and build innovative solutions for our customers. 8+ years’ experience in technical software design and…",N/A,3.7 ,simplyhired.com/job/yIyLsuEBlTZO1eoPH0arKXblBVUCmLLuZFI35zHww2rJLUTL1FSrQw
"Embedded Software Developer II C, C++",Raytheon Missiles & Defense,"Tewksbury, MA","Typically requires a Bachelor’s degree in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or related field and 2+ years of…",N/A,3.7 ,simplyhired.com/job/XsbNOInUTZbSaGB9xhex90YsOO7yk1yHem52Y385x9p9jyZ3vNmVfw
Software Engineer,O2C Brands,"Chicago, IL","A thorough grasp of technology concepts, business operations, design and development tools, system architecture and technical standards.","Estimated: $75,000 - $85,000 a year",N/A,simplyhired.com/job/pd8lF34pf8HzPN2YudyH-OPcTZ1wJ4ZehUToldBsccAuGmxF3PQh8w
Software Engineer - Entry Level,Geisel Software,"Worcester, MA","This position will put your problem-solving skills to the test, whether that means tracking down answers on Google, from a colleague, or building a new solution…",Estimated: $74.4K - $94.2K a year,5 ,simplyhired.com/job/sNjP_eP9bfPL3TFzMOanAIhoN0IkGGP7h7opJwdfs7zenEuidb8f3A
Software Developer I,Management Science Associates Inc.,Remote,"This is an entry level job, 6+ months of relative experience will be a plus. Participate in user interface design. *Work full-time remote from a home office*.",Estimated: $77.8K - $98.5K a year,2.7 ,simplyhired.com/job/8Igg5-Fu91YzDtBXEbMQED3FJj3K_i4Nb4EqelNJ55ThYAqFS1PT3w
Software Engineer- Remote,Home Depot / THD,"Atlanta, GA","The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to…","$120,000 a year",3.7 ,simplyhired.com/job/Y0boCgUa_e22k2JiFneS16YHSrYt3mA53NYrxt1J9LJ8_QPnwPh4yQ
Software Test Engineer (entry-level),Real-Time Technology Solutions,"New York, NY","Must possess an undergraduate or graduate-level degree with a concentration in Computer Science, Information Technology, Mathematics, or another related field.","Estimated: $60,000 - $70,000 a year",4.1 ,simplyhired.com/job/Rj6GI1hVd09G_Q0ayeGAGFEKJauaRI4tZ9qnfLGCGoNvN5tP_ViJSA
CPT/OPT Hiring & Placement for RPA/UI Path/DevOPS,VForce InfoTech,New Jersey,"Deploy RPA components including bots, robots, development tools, code repositories, and logging tools. Work directly with stakeholders to capture business…","Estimated: Up to $120,000 a year",N/A,simplyhired.com/job/-WS1tij_dM-7kfFO9_2pv6jkHyVixgLJxlAzxQBvNATIgJOXazezwQ
"C++ Software Engineer II (Onsite) Huntsville, AL",Raytheon Missiles & Defense,"Huntsville, AL","Our 2000+ software engineers design, develop, and build innovative solutions for our customers. An advanced degree in a related field may be substituted for…",N/A,3.7 ,simplyhired.com/job/oKkV86RmcRnxNBbZc23L52Dr8QU7J9lWtwprYT4fHX6m3oV_5Do7BQ
Minimum 5K Sign on Bonus Real Time Embedded Software Engineer I (Onsite),Raytheon Missiles & Defense,"Tucson, AZ","Our 2000+ software engineers design, develop, and build innovative solutions for our customers. Under general supervision, develop solutions to a variety of…",N/A,3.7 ,simplyhired.com/job/3ImUVLVU8juviX6rqyexS_J3dl7An2imOp2pR9Z_tP67CGs458LcUg
Software Developer (.NET) Opportunities for Entry-Level Candidates,Quotum Technologies Inc.,"Alpharetta, GA","Has excellent communication skills, be able to read and draft technical specifications and documentation fast as well as handle telephone conferences with…","Estimated: From $50,000 a year",3 ,simplyhired.com/job/ahD-UHcjulmT4VIwOAC7Sjk6tFI6LSae7DzF83XMeCR2RUr_D8mEtw
Principal Software Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Requires Bachelor’s degree in a STEM field of study (CS, Engineering, Math, Physics) and at least eight (8) years of prior relevant experience (post BS degree),…",N/A,3.7 ,simplyhired.com/job/CgyOE8pl_ZBIDNrtvDVRftrcxKutMD_d7pkqeFshnVRH9WId7TNFDA
Software Engineer - Recent/Upcoming Graduates,Performance,"Cedar Rapids, IA","Performance Software Corporation is engaged in the design of Real-time Embedded Software and Hardware. At Performance, you’re not just a name & face or locked…",Estimated: $78.9K - $99.9K a year,4.5 ,simplyhired.com/job/MMWo7Z-WIau0ckQ2-gOFMcX-Oktnc2F1ZZqg21Du6293PJmPodbs2Q
"C++ Senior Software Engineer (Onsite) Huntsville, AL",Raytheon Missiles & Defense,"Huntsville, AL","Our 2000+ software engineers design, develop, and build innovative solutions for our customers. An advanced degree in a related field may be substituted for…",N/A,3.7 ,simplyhired.com/job/cO83HaPx5oh1UWPPcMEAG5uHrIIZvabbtYvFfjK0xrkYpICFpAvXGg
"Embedded Software Engineer (Entry- Level), Navigation and Sensor Systems-Hybrid",BAE Systems,"Cedar Rapids, IA",Supporting in the field integrations and demonstration efforts. Strong verbal and written technical communication skills. Must be a US Citizen.,N/A,3.8 ,simplyhired.com/job/0D2HWQkEmGbuaXBqRNjwsD18zM0Tm6UhqWiGUPaeOHChEk6yCemxgw
"Principal Software Developer - C, C++, Java, Ada",Raytheon Missiles & Defense,"Tewksbury, MA","Our 2000+ software engineers design, develop, and build innovative solutions for our customers. Work in a team environment with the product and design teams to…",N/A,3.7 ,simplyhired.com/job/-KaCW25xCsycZpGXQHXzASR3zWF5nWrVevmXqQtRZt3NcPhZYsXqVA
Entry - Mid Android Developer,Adidev Technologies Inc,"Jersey City, NJ",Adidev Technologies is looking for entry-level and mid-level Android developers with 1 year - to 3 years of experience. Comfortable with Git and source control.,Estimated: $30 - $45 an hour,N/A,simplyhired.com/job/Fu_fCy3u2gThtqQ_ceXfvNG6mzApGVVVQWoY-Qc-vPahddQtjs2LwQ
"Software Engineer - Bend, Oregon (SE022223)",Paladin Data Corporation,"Bend, OR","Ability to communicate with managers and developers regarding customer requirements, system architecture, design, and existing code. NET, and SQL is preferred.",Estimated: $30 an hour,2.5 ,simplyhired.com/job/qZ8du75AkDfpJJHeGkPvjbm7vZ1ZM3GqSVA6XR1kuKiuz_sPlp0XeQ
Software Engineer,Gemini Legal Support Inc,"Citrus Heights, CA","Modern programming languages, source code control, project management tools. Lean and Agile software development methodologies.","Estimated: $70,000 - $127,000 a year",N/A,simplyhired.com/job/PfUKkW8eozc2va5tPeOZ9yB2gO5jKe0E5VgjcSb_hYJeFspuMZFqMg
Entry Level Java Developer,"Antra, Inc","Naperville, IL","In this role, you will design, develop, modify, adapt and implement short- and long-term solutions to information technology needs through new and existing…","Estimated: $62,000 - $70,000 a year",4.5 ,simplyhired.com/job/cXRYQFMtTGTF_YfA2k9q8yfwCQCm0ccw5_uNS-8yiAUM8WLUvJUgPQ
Software Engineer,Autonodyne LLC,"Boston, MA","You’ve studied - you have a BA, BS, or MS in computer science or a related field, or equivalent experience. This position will likely involve travel to customer…","Estimated: $88,000 - $115,000 a year",N/A,simplyhired.com/job/1j-sIpPe4qRUjuBjHINhmCwpjisAX2-ZXOoGgflGaOuO8bVeulyhDA
Real Time Embedded Software Engineer II | **Minimum 10K Sign on Bonus (Onsite),Raytheon Missiles & Defense,"Tucson, AZ","Our 2000+ software engineers design, develop, and build innovative solutions for our customers. As a software engineer on the SPE Effectors team, you will be…",N/A,3.7 ,simplyhired.com/job/ohONtVIC3ZNJy7wUxO0dHo1plULiqKaTuQ9KYQX4EHzkFiOSOYuZ8w
Front-End / UI Developer (Mandarin MUST - Will Train - Nationwide),Software.Enterprises,"Ann Arbor, MI","In fields of healthcare, banking, and financial services, high-tech IT business, retail and e-commerce, insurance, entertainment, telecom and cable, pharmacy…","Estimated: $60,000 - $95,000 a year",N/A,simplyhired.com/job/VJtsFaEUdq64JVrRelvd0DeD3oXM9PifIgm6EL9BYq_QDZewhYLapQ
Senior Software Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Requires Bachelor’s degree in a STEM field of study (CS, engineering, Math, or Physics) and at least five (5) years of prior relevant experience (post BS degree…",N/A,3.7 ,simplyhired.com/job/DHNpMzZn2rgmswqDgHMxsmWQFsR0EmGainbCKiIAVqZUkxfUCbmKEQ
Entry Level IOS Developer,APOLIS,"Saint Charles, IL",Some programming experience in IOS/Java/JDBC/HTML/Objective C/C++ is required. 6-12 months hands on programming experience is a major plus.,"Estimated: $55,000 - $65,000 a year",N/A,simplyhired.com/job/IJVDOnm_zhCpJwQO13fwhpuEX4G8Bp5gGAU5X7vpSLIf1cAnQ6IKSg
Jr./Entry Java Developer,Southern Talent Specialists,"Birmingham, AL",Develop technical specifications from functional specifications. Responsible for writing Java code for new and existing applications and products and supporting…,Estimated: $53.2K - $67.3K a year,N/A,simplyhired.com/job/5utwh5VDlvdyRNQY_SpdtmFjAPMORVfgbOoy0U9Kvzax28-c9GTtBw
Entry Level Django Developer,I28 Technologies Corporation,Remote,"Django, REST PostgreSQL stack. Candidate with exposure to competitive programming will be given preference. Job Type: Contract Pay: $50,000.00 - $55,000.00…","Estimated: $50,000 - $55,000 a year",3 ,simplyhired.com/job/84sHSGw8LaRlDb2_sV4FrcWRlWQ0WdiM1fgZ6Rah98_vsTf1I5Gu9g
Junior Software Engineer,Fathom5,"Austin, TX",Assist the Chief Engineer with all aspects of software design and coding. You will report directly to the Fathom5 Chief Engineer and assist with all functions…,Estimated: $62.3K - $78.8K a year,N/A,simplyhired.com/job/4R64YJcF0qxoUoaesznY7_m3AzOo58YHCqk9Rb2xwxledG2LoqGsEg
Entry Level Software Engineer,Common Goal Systems Inc.,"Elmhurst, IL","Bachelor's Degree in Computer Science or related field. Our goal is to make a positive impact on education through the implementation of high-quality, easy-to…",Estimated: $58.4K - $74K a year,N/A,simplyhired.com/job/b3VSeLP1qELcg6oeMiRbaGH1cslSRgE14BA7heRvE7O5oQ6FtKAzpw
Senior Principal Software Engineer - Section Leader,Raytheon Missiles & Defense,"Woburn, MA","Our 2000+ software engineers design, develop, and build innovative solutions for our customers. 10+ years’ experience in technical software design and…",N/A,3.7 ,simplyhired.com/job/-l9Zk5Tl_rRZrJeHRtROgGfOnTOhVhkg-Cog6ge3QCBwQrpYIxVqyg
Junior .Net Software Developer,JEAR Logistics,"Charleston, SC","Minimum of B.S. in Computer Science, Engineering, or related field preferred. The position is for a full stack Junior Software Developer to help develop and…",Estimated: $56.7K - $71.8K a year,3.2 ,simplyhired.com/job/MtYCZtn92Q96Z6aNZi2NZlimUbCtd_cZETbdFRMQG584ysl4Ucm1-A
Real Time Embedded Principal Software Engineer ** Minimum 30K Sign on Bonus,Raytheon Missiles & Defense,"Tucson, AZ","This position is responsible for applying advanced technical expertise with C/C++ software development for embedded multi-processor systems, contributing to the…",N/A,3.7 ,simplyhired.com/job/hHRsSAN5dIGCrPb_hBCnWCe3VjjJpJBPxh11RkgT0awSMeqRjMFy9w
Front-End Developer (Mandarin MUST - Will Train - Nationwide),SSI,"San Jose, CA","In fields of healthcare, banking, and financial services, high-tech IT business, retail and e-commerce, insurance, entertainment, telecom and cable, pharmacy…","$60,000 - $90,000 a year",3.7 ,simplyhired.com/job/OLtG-UFUCunowaU327b8JM17eUcUxs6AgAV4uTJrjtxFpJPsG1WZ7A
Principal Receiver Exciter Backend Processing Hardware Design & Analysis Engineer,Raytheon Missiles & Defense,"Tewksbury, MA","This position will be responsible for analysis, design, test, integration and troubleshooting of complex electronic hardware systems, beginning with…",N/A,3.7 ,simplyhired.com/job/-UHlmKt9nHDAvxvKA7j5JXIeaMpBDFjwfuJUedDer-dMFVxRdio3ew
"Software Engineer Associate, LPP (June 2023) - Retirement Planning",Lincoln Financial,"Dover, NH","The goal is to accelerate the growth of associates within two years, providing them with the tools to take charge and further their career at Lincoln Financial…","$39,900 - $83,700 a year",3.5 ,simplyhired.com/job/SCLHvQxOb195aUfeKAnMfesyTDEzgUfvAidOZQtwhzVijJ57444F7A
Principal Systems Security Engineer - Cyber Engineer (P4),Raytheon Missiles & Defense,"Fullerton, CA","Understanding of Systems Engineering requirements, specifications, and Experience implementing DoD and Federal IA Certification and Accreditation Processes, IA…",N/A,3.7 ,simplyhired.com/job/vJ0BT02KfsgyEL1eP4gC5dOOOLHk2SPiYZLp3Y_rrSCdX-iN5WwpjQ
